Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable
Terrain,Khobar,GMC,Automatic,Saudi,Semi Full,2013,3.6,220,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,231000,True
FJ,Makkah,Toyota,Automatic,Saudi,Full,2017,4.0,144000,True
Edge,Riyadh,Ford,Automatic,Saudi,Full,2012,1.0,290,True
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,2.5,174000,True
C,Riyadh,Mercedes,Automatic,Saudi,Full,2019,2.0,28000,True
CT-S,Najran,Cadillac,Automatic,Saudi,Full,2009,3.6,222,True
Cadenza,Al-Medina,Kia,Automatic,Other,Semi Full,2018,3.3,148,True
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.4,128336,True
Hilux,Jeddah,Toyota,Manual,Saudi,Full,2020,2.7,19200,True
Land Cruiser,Riyadh,Toyota,Automatic,Unknown,Full,2013,4.6,200000,True
D-MAX,Riyadh,Isuzu,Manual,Saudi,Standard,2008,2.5,570713,True
Corolla,Qassim,Toyota,Automatic,Other,Semi Full,2013,1.6,450000,True
Expedition,Riyadh,Ford,Automatic,Unknown,Semi Full,2005,5.4,210000,True
Camry,Dammam,Toyota,Automatic,Other,Full,1997,2.5,400000,True
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,4.6,116000,True
A8,Riyadh,Audi,Automatic,Gulf Arabic,Semi Full,2016,3.0,125000,True
6,Riyadh,Mazda,Automatic,Saudi,Standard,2018,2.5,11000,True
Land Cruiser,Abha,Toyota,Manual,Saudi,Semi Full,1994,9.0,402000,True
Grand Cherokee,Makkah,Jeep,Automatic,Saudi,Full,2015,6.4,119000,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2015,4.6,255000,True
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,93000,True
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2013,8.0,186000,True
ES,Jeddah,Lexus,Automatic,Other,Full,2017,3.5,61000,True
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2013,4.0,172,True
Hilux,Dammam,Toyota,Manual,Gulf Arabic,Semi Full,2016,1.4,261000,True
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Standard,1988,5.3,150000,True
Azkarra,Qassim,Geely,Automatic,Saudi,Full,2021,1.5,783,True
XF,Dammam,Jaguar,Automatic,Saudi,Semi Full,2011,3.5,161000,True
CLA,Yanbu,Mercedes,Automatic,Other,Semi Full,2015,2.0,133,True
FJ,Dammam,Toyota,Automatic,Saudi,Full,2010,4.0,295,True
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2019,1.5,43210,True
Patrol,Yanbu,Nissan,Manual,Saudi,Full,1989,4.0,300000,True
Patrol,Hail,Nissan,Manual,Saudi,Standard,2016,1.2,250000,True
Pathfinder,Dammam,Nissan,Manual,Saudi,Full,2002,3.5,300000,True
Sierra,Riyadh,GMC,Automatic,Saudi,Full,2010,5.3,114000,True
Patrol,Dammam,Nissan,Automatic,Saudi,Full,2015,4.8,287,True
Attrage,Sakaka,Mitsubishi,Automatic,Saudi,Standard,2020,1.2,45000,True
Senta fe,Khobar,Hyundai,Automatic,Saudi,Full,2014,3.3,200203,True
Armada,Khobar,Nissan,Automatic,Saudi,Semi Full,2015,1.6,190000,True
Yaris,Jeddah,Toyota,Automatic,Gulf Arabic,Standard,2018,1.5,59600,True
Corolla,Makkah,Toyota,Automatic,Saudi,Standard,2012,1.6,356500,True
Yukon,Taef,GMC,Automatic,Saudi,Full,2006,5.3,109000,True
Prado,Jubail,Toyota,Manual,Saudi,Semi Full,2011,2.7,165000,True
Camry,Riyadh,Toyota,Manual,Saudi,Standard,2005,3.1,500000,True
Accord,Al-Ahsa,Honda,Automatic,Gulf Arabic,Standard,2008,2.4,100,True
Wingle,Qassim,Great Wall,Manual,Saudi,Full,2021,2.0,18000,True
Carnival,Aseer,Kia,Automatic,Saudi,Standard,2015,3.5,144653,True
Fusion,Aseer,Ford,Automatic,Saudi,Semi Full,2015,2.5,63000,True
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,87000,True
Dyna,Jeddah,Isuzu,Manual,Saudi,Standard,2016,3.0,400000,True
Rio,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.4,112000,True
Suburban,Taef,Chevrolet,Automatic,Other,Full,1995,5.3,200,True
Patrol,Makkah,Nissan,Automatic,Saudi,Full,2006,1.0,200000,True
Odyssey,Jeddah,Honda,Automatic,Saudi,Standard,2016,3.5,84000,True
Yukon,Hail,GMC,Automatic,Saudi,Full,2011,5.3,333000,True
Flex,Al-Jouf,Ford,Automatic,Saudi,Full,2015,6.0,134800,True
F150,Khobar,Ford,Automatic,Saudi,Semi Full,2014,5.0,169000,True
Armada,Riyadh,Nissan,Automatic,Saudi,Full,2014,5.6,284686,True
6,Dammam,Mazda,Automatic,Other,Semi Full,2016,2.5,198,True
Datsun,Al-Medina,Nissan,Manual,Unknown,Full,2016,2.4,193000,True
Lancer,Hail,Mitsubishi,Automatic,Saudi,Standard,2016,1.6,120000,True
Tahoe,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2012,1.0,172000,True
A8,Riyadh,Audi,Automatic,Saudi,Full,2015,5.0,56000,True
Yukon,Dammam,GMC,Automatic,Saudi,Semi Full,2002,5.3,297000,True
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Semi Full,2017,3.5,147000,True
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Semi Full,2015,4.0,176000,True
POS24,Aseer,Mercedes,Manual,Other,Full,1983,8.0,9999999,True
Cadenza,Riyadh,Kia,Automatic,Saudi,Full,2017,3.5,60314,True
Charger,Al-Medina,Dodge,Automatic,Saudi,Full,2018,5.7,15000,True
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.3,132560,True
Silverado,Al-Ahsa,Chevrolet,Automatic,Saudi,Full,2013,8.0,197000,True
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2020,4.8,17000,True
Passat,Riyadh,Volkswagen,Automatic,Saudi,Full,2014,2.5,239,True
Kaptiva,Al-Ahsa,Chevrolet,Automatic,Saudi,Standard,2021,1.5,18750,True
Sonata,Al-Medina,Hyundai,Automatic,Saudi,Standard,2019,2.4,87000,True
Sonata,Dammam,Hyundai,Automatic,Saudi,Standard,2018,2.4,10000,True
Yukon,Jeddah,GMC,Automatic,Other,Full,2016,5.3,250000,True
Spark,Riyadh,Chevrolet,Automatic,Other,Standard,2017,1.4,88739,True
Fusion,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,2.5,200000,True
The 7,Jeddah,BMW,Automatic,Gulf Arabic,Standard,2014,2.0,182,True
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2016,5.3,222000,True
S,Al-Medina,Mercedes,Automatic,Saudi,Full,2007,3.0,200000,True
CS95,Hail,Changan,Automatic,Saudi,Full,2021,2.0,31000,True
Sierra,Dammam,GMC,Automatic,Saudi,Standard,2015,5.3,137000,True
Charger,Jeddah,Dodge,Automatic,Saudi,Semi Full,2020,3.6,38000,True
Sentra,Riyadh,Nissan,Manual,Saudi,Standard,2019,1.6,90000,True
G,Jeddah,INFINITI,Automatic,Gulf Arabic,Full,2007,6.0,210000,True
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.6,125000,True
Tahoe,Al-Jouf,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,4691232,True
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Semi Full,2011,4.0,300,True
EC7,Riyadh,Geely,Manual,Saudi,Full,2014,1.4,190000,True
Land Cruiser Pickup,Al-Medina,Toyota,Manual,Saudi,Semi Full,2016,4.8,198000,True
Explorer,Riyadh,Ford,Automatic,Saudi,Standard,2009,3.5,215000,True
Sonata,Qassim,Hyundai,Automatic,Saudi,Standard,2018,2.2,184,True
Land Cruiser,Al-Medina,Toyota,Automatic,Gulf Arabic,Semi Full,2013,4.6,260000,True
Sonata,Al-Ahsa,Hyundai,Automatic,Saudi,Full,2015,2.0,300,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,34000,True
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,6.0,186000,True
RX5,Riyadh,MG,Automatic,Saudi,Full,2019,2.0,49000,True
Hilux,Khobar,Toyota,Manual,Gulf Arabic,Full,2013,2.7,152000,True
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,111000,True
The 7,Riyadh,BMW,Automatic,Gulf Arabic,Full,2020,2.0,22000,True
Elantra,Aseer,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,180700,True
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2018,2.7,243300,True
Navara,Abha,Nissan,Manual,Other,Semi Full,2013,2.5,300,True
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,231000,True
Accord,Jeddah,Honda,Automatic,Saudi,Full,2019,2.5,19000,True
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2021,5.7,3500,True
Prado,Qassim,Toyota,Automatic,Saudi,Semi Full,2014,1.8,287,True
Victoria,Besha,Ford,Automatic,Saudi,Full,2004,4.6,260,True
New Yorker,Riyadh,Chrysler,Automatic,Other,Full,1978,6.6,52000,True
Azera,Dammam,Hyundai,Automatic,Saudi,Standard,2018,3.0,86000,True
Taurus,Taef,Ford,Automatic,Saudi,Semi Full,2014,6.0,265,True
Explorer,Aseer,Ford,Automatic,Saudi,Full,2007,4.5,300000,True
K5,Jazan,Kia,Automatic,Saudi,Semi Full,2021,2.5,7000,True
LX,Taef,Lexus,Automatic,Other,Full,2014,5.7,305,True
Charger,Qassim,Dodge,Automatic,Saudi,Full,2018,3.2,99000,True
Hilux,Sabya,Toyota,Manual,Saudi,Full,2002,2.7,100,True
Patrol,Riyadh,Nissan,Automatic,Saudi,Semi Full,2017,4.0,100,True
Yukon,Al-Ahsa,GMC,Automatic,Saudi,Full,2003,5.3,10000,True
3,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2016,1.5,287000,True
Yukon,Al-Medina,GMC,Automatic,Saudi,Semi Full,2011,5.3,366,True
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2019,1.6,45000,True
ES,Riyadh,Lexus,Automatic,Saudi,Semi Full,2021,3.5,6174,True
Charger,Qassim,Dodge,Automatic,Saudi,Semi Full,2017,3.6,88000,True
Hilux,Jeddah,Toyota,Manual,Saudi,Standard,1997,2.7,1000000,True
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.0,194000,True
X,Riyadh,BMW,Automatic,Saudi,Full,2018,2.0,47000,True
Altima,Al-Ahsa,Nissan,Automatic,Saudi,Full,2010,2.5,236660,True
Land Cruiser,Aseer,Toyota,Manual,Saudi,Semi Full,1997,4.6,400000,True
Land Cruiser Pickup,Hail,Toyota,Manual,Saudi,Full,2001,4.5,420,True
Malibu,Riyadh,Chevrolet,Automatic,Saudi,Full,2013,3.5,185000,True
Edge,Dammam,Ford,Automatic,Saudi,Full,2007,3.5,270000,True
ES,Jeddah,Lexus,Automatic,Saudi,Full,2013,3.5,326000,True
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,161000,True
Hilux,Jeddah,Toyota,Manual,Saudi,Full,2019,2.7,83000,True
S,Riyadh,Mercedes,Automatic,Saudi,Full,2006,3.5,290000,True
ES,Besha,Lexus,Automatic,Other,Full,2013,3.5,180,True
Sonata,Dammam,Hyundai,Automatic,Saudi,Semi Full,2013,2.4,440000,True
Explorer,Taef,Ford,Automatic,Saudi,Semi Full,2010,4.0,246000,True
Furniture,Al-Medina,Toyota,Automatic,Saudi,Standard,2015,2.7,221000,True
Patrol,Dammam,Nissan,Automatic,Saudi,Semi Full,2015,4.0,175000,True
CX5,Riyadh,Mazda,Automatic,Saudi,Full,2020,2.5,35000,True
Altima,Jeddah,Nissan,Automatic,Saudi,Semi Full,2020,2.5,18000,True
QX,Khobar,INFINITI,Automatic,Saudi,Full,2014,3.7,160000,True
Ciocca,Dammam,Toyota,Automatic,Saudi,Semi Full,2013,5.7,210000,True
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,94000,True
Van,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,33000,True
Seven,Jeddah,Changan,Automatic,Saudi,Standard,2022,1.1,2500,True
Camry,Riyadh,Toyota,Automatic,Unknown,Standard,2016,2.5,267000,True
Datsun,Riyadh,Nissan,Manual,Saudi,Standard,2003,2.7,100,True
Other,Al-Ahsa,Suzuki,Manual,Other,Full,2014,1.0,25000,True
LS,Jeddah,Lexus,Automatic,Saudi,Full,2014,4.6,22400,True
Accord,Jeddah,Honda,Automatic,Saudi,Semi Full,2002,1.5,500000,True
Senta fe,Jubail,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,3.4,120000,True
FJ,Makkah,Toyota,Automatic,Other,Full,2012,4.0,69000,True
Land Cruiser,Jeddah,Toyota,Automatic,Gulf Arabic,Full,2020,4.6,50000,True
Mohave,Jazan,Kia,Automatic,Saudi,Full,2014,3.6,284,True
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2017,2.4,117059,True
Marquis,Hafar Al-Batin,Ford,Automatic,Other,Full,2006,4.6,200000,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2006,4.6,360000,True
Senta fe,Qassim,Hyundai,Automatic,Gulf Arabic,Semi Full,2016,3.5,97000,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,309,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2013,4.6,199,True
Camry,Makkah,Toyota,Automatic,Saudi,Full,2015,2.5,112506,True
S,Riyadh,Mercedes,Automatic,Unknown,Full,2006,3.0,347000,True
Patrol,Qassim,Nissan,Automatic,Saudi,Full,2016,4.0,167,True
Yukon,Arar,GMC,Automatic,Saudi,Standard,2012,5.3,187800,True
Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2020,4.0,25000,True
The 7,Qassim,BMW,Automatic,Saudi,Semi Full,2015,1.6,122,True
LS,Dammam,Lexus,Automatic,Saudi,Full,2003,4.6,200000,True
Datsun,Riyadh,Nissan,Manual,Saudi,Semi Full,2013,1.6,171549,True
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2021,4.0,200,True
Land Cruiser,Al-Ahsa,Toyota,Automatic,Gulf Arabic,Full,2017,4.6,90000,True
ES,Jeddah,Lexus,Automatic,Other,Full,2016,3.5,48000,True
CLA,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2020,2.0,2000,True
Land Cruiser,Tabouk,Toyota,Automatic,Saudi,Full,2016,1.2,17000,True
FJ,Najran,Toyota,Automatic,Other,Full,2015,4.0,320,True
The 7,Jeddah,BMW,Automatic,Saudi,Full,2004,2.0,240,True
Hilux,Riyadh,Toyota,Manual,Unknown,Full,2014,2.7,270000,True
Patrol,Riyadh,Nissan,Manual,Saudi,Standard,2003,4.0,228000,True
Charger,Riyadh,Dodge,Automatic,Other,Standard,2014,3.6,240000,True
Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2020,4.7,25000,True
Suburban,Jazan,Chevrolet,Automatic,Other,Full,2008,5.3,300000,True
Yukon,Dammam,GMC,Automatic,Saudi,Semi Full,2005,5.3,450000,True
Azera,Riyadh,Hyundai,Manual,Saudi,Semi Full,2012,3.0,290000,True
Expedition,Najran,Ford,Automatic,Saudi,Semi Full,2018,5.4,91000,True
Range Rover,Dammam,Land Rover,Automatic,Saudi,Full,2019,4.0,35000,True
Datsun,Aseer,Nissan,Manual,Saudi,Standard,1986,2.4,463,True
Defender,Dammam,Land Rover,Manual,Gulf Arabic,Semi Full,2013,4.0,28000,True
Carnival,Riyadh,Kia,Automatic,Saudi,Full,2008,4.0,270000,True
Taurus,Al-Medina,Ford,Automatic,Saudi,Semi Full,2016,3.5,233,True
Land Cruiser,Qassim,Toyota,Automatic,Gulf Arabic,Semi Full,1999,4.5,640000,True
Taurus,Riyadh,Ford,Automatic,Unknown,Standard,2015,3.5,175000,True
Tahoe,Makkah,Chevrolet,Automatic,Saudi,Semi Full,2007,4.7,176000,True
H100,Qassim,Hyundai,Automatic,Other,Full,2016,4.0,145000,True
X,Dammam,BMW,Automatic,Saudi,Full,2011,5.0,205000,True
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,5.4,246000,True
Suburban,Aseer,GMC,Automatic,Other,Standard,1994,5.3,3700562,True
Charger,Najran,Dodge,Automatic,Saudi,Full,2012,3.0,147000,True
S,Riyadh,Mercedes,Automatic,Saudi,Full,2016,4.7,95165,True
Rush,Al-Medina,Toyota,Automatic,Saudi,Full,2020,1.5,12000,True
Echo Sport,Dammam,Ford,Automatic,Other,Standard,2015,1.5,159000,True
6,Riyadh,Mazda,Automatic,Saudi,Standard,2020,2.5,36000,True
Silverado,Riyadh,Chevrolet,Automatic,Saudi,Full,2012,5.3,350000,True
Previa,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2010,4.0,300,True
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2020,5.3,18000,True
Marquis,Al-Medina,Ford,Automatic,Other,Semi Full,2004,4.6,200000,True
Furniture,Dammam,Toyota,Automatic,Saudi,Standard,2014,2.7,160000,True
Edge,Riyadh,Ford,Automatic,Saudi,Semi Full,2008,3.5,146000,True
Senta fe,Aseer,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,245000,True
Camaro,Aseer,Chevrolet,Automatic,Other,Full,2014,3.6,182,True
Range Rover,Dammam,Land Rover,Automatic,Other,Full,2019,5.0,3100,True
VTC,Besha,Nissan,Manual,Saudi,Semi Full,2016,4.8,136000,True
Sonata,Aseer,Hyundai,Automatic,Saudi,Full,2012,2.4,28000,True
Caprice,Khobar,Chevrolet,Automatic,Saudi,Semi Full,2012,6.0,100000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2014,6.2,386000,True
H1,Qassim,Hyundai,Automatic,Saudi,Standard,2016,2.4,125000,True
Tahoe,Al-Medina,Chevrolet,Automatic,Saudi,Standard,2020,4.0,9000,True
Hilux,Hail,Toyota,Manual,Saudi,Semi Full,2015,4.0,170000,True
Camry,Dammam,Toyota,Automatic,Gulf Arabic,Standard,2017,2.5,150000,True
Hilux,Al-Medina,Toyota,Manual,Saudi,Standard,2021,2.7,3500,True
Armada,Hafar Al-Batin,Nissan,Automatic,Saudi,Full,2007,8.0,250000,True
Cadenza,Hafar Al-Batin,Kia,Automatic,Saudi,Full,2018,3.3,120,True
Yukon,Abha,GMC,Automatic,Other,Standard,2007,5.3,355000,True
Fusion,Dammam,Ford,Automatic,Saudi,Full,2014,2.5,118000,True
Patrol,Qassim,Nissan,Automatic,Saudi,Semi Full,2013,8.0,234000,True
Camry,Dammam,Toyota,Automatic,Saudi,Full,2020,2.5,11800,True
Bora,Riyadh,Volkswagen,Automatic,Other,Full,2004,1.6,150000,True
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2016,4.0,155000,True
Silverado,Qassim,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,380,True
FJ,Makkah,Toyota,Automatic,Saudi,Semi Full,2014,4.0,164,True
Hilux,Hail,Toyota,Manual,Saudi,Full,2016,4.0,13200,True
Hilux,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2016,2.7,68700,True
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2016,5.7,113000,True
Acadia,Khobar,GMC,Automatic,Other,Standard,2011,3.6,264000,True
Other,Khobar,Other,Manual,Other,Semi Full,2019,2.4,1000,True
Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2018,4.8,58000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2009,5.3,465000,True
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.5,200000,True
X,Khobar,BMW,Automatic,Saudi,Full,2014,4.4,124000,True
Cressida,Aseer,Toyota,Manual,Saudi,Semi Full,1986,4.5,480000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2009,5.3,309000,True
Prado,Khobar,Toyota,Automatic,Saudi,Semi Full,2012,4.0,311236,True
LX,Riyadh,Lexus,Automatic,Other,Standard,1999,1.0,300,True
Azera,Al-Medina,Hyundai,Automatic,Saudi,Semi Full,2017,3.0,75000,True
Land Cruiser 70,Tabouk,Toyota,Manual,Gulf Arabic,Semi Full,2016,4.0,100,True
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2020,3.5,13500,True
Land Cruiser,Aseer,Toyota,Manual,Saudi,Full,2006,4.6,283,True
Explorer,Riyadh,Ford,Automatic,Saudi,Semi Full,2018,3.5,15000,True
Carnival,Riyadh,Kia,Automatic,Saudi,Semi Full,2016,2.0,168000,True
Sunny,Dammam,Nissan,Automatic,Gulf Arabic,Standard,2018,1.5,59700,True
H6,Jeddah,HAVAL,Automatic,Saudi,Full,2021,2.0,45000,True
Accord,Makkah,Honda,Automatic,Gulf Arabic,Full,2015,3.5,110,True
6,Dammam,Mazda,Automatic,Gulf Arabic,Semi Full,2016,2.5,134000,True
Impala,Jeddah,Chevrolet,Automatic,Saudi,Full,2015,3.6,170,True
Corolla Cross,Jeddah,Toyota,Manual,Saudi,Semi Full,2009,1.6,430000,True
Carenz,Dammam,Kia,Automatic,Gulf Arabic,Full,2014,8.0,150000,True
Hilux,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2016,2.7,188,True
LX,Riyadh,Lexus,Automatic,Saudi,Full,2014,5.7,196000,True
Mustang,Jeddah,Ford,Automatic,Other,Standard,2013,2.3,180000,True
ES,Riyadh,Lexus,Automatic,Saudi,Standard,2021,2.5,13000,True
Suburban,Al-Medina,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,454000,True
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Full,2008,5.3,256,True
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2016,5.0,35500,True
Taurus,Dammam,Ford,Automatic,Saudi,Semi Full,2016,3.5,248000,True
Taurus,Qassim,Ford,Automatic,Saudi,Standard,2017,2.4,300000,True
Land Cruiser Pickup,Jeddah,Toyota,Manual,Saudi,Semi Full,2014,4.0,118000,True
Yukon,Riyadh,GMC,Automatic,Other,Standard,2007,1.0,300,True
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2020,2.7,62000,True
Camry,Al-Medina,Toyota,Manual,Other,Semi Full,2000,1.8,800000,True
Yukon,Al-Ahsa,GMC,Automatic,Saudi,Semi Full,2013,5.3,232,True
Suburban,Al-Ahsa,Chevrolet,Automatic,Saudi,Full,2007,5.3,226853,True
Land Cruiser Pickup,Dammam,Nissan,Manual,Saudi,Full,2013,4.8,311000,True
LX,Riyadh,Lexus,Automatic,Saudi,Full,2021,5.7,2000,True
Camry,Riyadh,Toyota,Automatic,Other,Semi Full,2006,2.4,200000,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2013,4.6,25000,True
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2018,3.5,60000,True
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2015,2.7,30000,True
POS24,Al-Medina,Mercedes,Manual,Saudi,Full,1975,8.0,22552,True
Aveo,Riyadh,Chevrolet,Automatic,Saudi,Standard,2011,1.6,21110,True
Accent,Abha,Hyundai,Automatic,Saudi,Standard,2019,1.4,94000,True
Patrol,Najran,Nissan,Automatic,Saudi,Full,2016,4.0,196,True
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Standard,2015,5.3,165,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2013,4.6,288000,True
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2012,5.0,155000,True
Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2020,2.7,56748,True
Silverado,Dammam,Chevrolet,Automatic,Unknown,Semi Full,2012,5.3,300000,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2014,5.7,165000,True
DTS,Riyadh,Cadillac,Automatic,Saudi,Full,2008,5.7,150000,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2007,1.3,1111111,True
Marquis,Al-Ahsa,Ford,Automatic,Other,Standard,1999,4.6,300000,True
Azera,Arar,Hyundai,Automatic,Saudi,Semi Full,2021,2.5,3700,True
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2013,5.3,322000,True
The 7,Riyadh,BMW,Automatic,Saudi,Standard,2010,2.0,352000,True
FJ,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2020,4.0,15000,True
Elantra,Aseer,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,60000,True
Fluence,Riyadh,Renault,Automatic,Saudi,Standard,2014,1.5,150000,True
Aurion,Aseer,Toyota,Automatic,Saudi,Full,2013,3.5,32300,True
Yaris,Dammam,Toyota,Manual,Saudi,Standard,2014,1.4,128400,True
Elantra,Al-Medina,Hyundai,Automatic,Saudi,Semi Full,2015,1.6,276,True
Land Cruiser Pickup,Taef,Toyota,Manual,Gulf Arabic,Semi Full,2004,4.5,557,True
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Full,2008,5.3,300000,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.5,92543,True
Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2019,1.5,63000,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,100,True
Land Cruiser,Arar,Toyota,Automatic,Gulf Arabic,Full,2006,4.6,36600,True
VTC,Qassim,Nissan,Manual,Other,Standard,2013,4.8,255,True
Yaris,Tabouk,Toyota,Automatic,Saudi,Semi Full,2016,1.5,230,True
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2011,1.6,258,True
Charger,Al-Ahsa,Dodge,Automatic,Other,Standard,2006,3.5,280000,True
Hilux,Al-Ahsa,Toyota,Manual,Gulf Arabic,Semi Full,2020,2.7,11000,True
FJ,Dammam,Toyota,Automatic,Saudi,Standard,2015,1.6,264000,True
Land Cruiser,Hafar Al-Batin,Toyota,Manual,Saudi,Semi Full,2004,4.6,540000,True
Yaris,Al-Baha,Toyota,Automatic,Saudi,Semi Full,2016,1.4,200,True
Fluence,Qassim,Renault,Automatic,Gulf Arabic,Full,2015,1.6,87000,True
Accord,Wadi Dawasir,Honda,Automatic,Saudi,Full,2004,2.4,5735,True
Other,Jeddah,Ford,Automatic,Saudi,Semi Full,2008,1.0,1910000,True
LX,Al-Medina,Lexus,Automatic,Saudi,Full,2016,5.7,143000,True
Optra,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2008,1.3,155,True
Tucson,Hafar Al-Batin,Hyundai,Automatic,Other,Full,2017,5.3,65000,True
Caprice,Riyadh,Chevrolet,Automatic,Unknown,Standard,2011,6.0,259000,True
Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2017,2.7,159000,True
Silverado,Riyadh,Chevrolet,Manual,Saudi,Full,1997,5.3,219000,True
GX,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2018,4.6,53190,True
Senta fe,Dammam,Hyundai,Automatic,Saudi,Standard,2014,3.3,265,True
Flex,Dammam,Ford,Automatic,Other,Standard,2011,9.0,300000,True
F150,Qassim,Ford,Automatic,Saudi,Semi Full,2018,5.0,50000,True
Accord,Jeddah,Honda,Automatic,Saudi,Semi Full,2018,1.5,105000,True
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2020,2.5,34800,True
Caprice,Riyadh,Chevrolet,Automatic,Gulf Arabic,Standard,2011,6.0,450000,True
